,year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypcm,linecm,detailcm
178048,2009,41,1779,4032009,130,A,O,P,1.0,CPW,2,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,41,41,N,N, , ,M,B,7111984,24,5,9,145,BK,BR,M, ,L, , ,STREET,957,KELLY STREET,WESTCHESTER AVENUE,EAST 163 STREET, ,BRONX, , ,41,G,7, ,1013067,0238633,CM,1,20
498873,2009,108,5805,10292009,1050,A,O,P,3.0,BURG,5,P,Y,Y,N, ,N, ,0,0,N, ,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,108,108,Y,N,V,S,M,A,12151993,15,5,5,140,BK,BR,T, ,L, , ,STREET, , ,63 STREET,37 AVENUE, ,QUEENS, , ,108,J, , ,1012043,0212157,CM,1,14
463573,2009,43,8340,10062009,1450,1,O,P,1.0,MISD,1,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,43,43,Y,N, ,S,M,Q,7031987,21,6,3,220,BR,BR,M, ,L, , ,STREET, , ,WATSON AVENUE,WHEELER AVENUE, ,BRONX, , ,43,E, , ,1017599,0240200,CM,1,20
43626,2009,77,932,1232009,1843,A,O,P,5.0,MIS,5,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,77,77,N,N, , ,M,B,3131986,22,5,5,120,BK,BR,T, ,L, , ,STREET,249,SCHENECTADY AVENUE,LINCOLN PLACE,SAINT JOHNS PLACE, ,BROOKLYN, , ,77,J,4,35,1002625,0183442,CM,1,24
563921,2009,110,11224,12132009,1655,A,O,P,3.0,CPW,10,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,110,110,Y,Y, , ,M,Q,9221991,18,5,6,165,BK,BR,M, ,L, , ,SIDEWALK, , ,53 AVENUE,108 STREET, ,QUEENS, , ,110,H, , ,1024535,0209890,CM,1,20
261097,2009,14,5194,5222009,2039,1,I,T,7.0,CPFI,1,V,Y,N,N, ,N, ,0,0,N,I,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,861,861,Y,N,V,S,M,B,7211961,47,5,8,175,BK,BR,M, ,L, , ,TURNSTILE, , ,8 AVENUE,WEST 34 STREET, ,MANHATTAN, , ,14,F,16, ,0986061,0213320,CM,1,26
538417,2009,67,11758,11242009,109,1,O,P,5.0,FEL,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,176,67,Y,N, , ,M,B,12181989,20,5,11,170,BK,BR,T, ,L, , ,SIDEWALK, , ,RUTLAND ROAD,EAST 93 STREET, ,BROOKLYN, , ,67,N, , ,1004543,0180604,CM,1,20
480540,2009,75,27535,10162009,2045,1,I,H,2.0,CRIM TRES,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,802,802,N,N, , ,F,B,12311900,16,5,7,140,BK,BR,M, ,L, , ,NYCHA,504,ASHFORD STREET,BLAKE AVENUE,SUTTER AVENUE, ,BROOKLYN, , ,75,G, , ,1016397,0183357,CM,1,31
568686,2009,34,7125,12172009,2225,A,O,P,2.0,GRAND LARCENY,10,P,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,34,34,N,N, ,S,M,W,9291990,19,6,1,199,BK,BR,M, ,L, , ,STREET, , ,BROADWAY,WEST 190 STREET, ,MANHATTAN, , ,34,B,4, ,1002850,0251332,CM,1,45
184508,2009,67,3355,4072009,215,A,O,P,1.0,FEL,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,176,176,N,N, , ,M,B,6021983,25,5,10,160,BK,BR,T, ,L, , ,STREET, , ,RUTLAND ROAD,EAST 94 STREET, ,BROOKLYN, , ,67,N, , ,1004742,0180773,CM,1,20
529729,2009,113,10028,11182009,1330,A,O,P,1.0,FEL,5,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,185,185,Y,N,V,S,M,B,3151991,19,5,10,160,BK,BR,T, ,L, , ,STREET, , ,190 STREET,LINDEN BOULEVARD, ,QUEENS, , ,113,J, , ,1050500,0191479,CM,1,20
558085,2009,60,8442,12092009,1129,1,I,T,35.0,FELONY,5,O,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,871,871,N,N,V,S,M,B,12051977,31,6,0,160,BK,BR,T, ,L, , ,BRIGHTON BCH AVE 'Q' LINE, , ,BRIGHTON BEACH AVENUE,BRIGHTON 6 STREET, ,BROOKLYN, , ,60,B, , ,0994961,0149718,CM,1,85
26431,2009,30,140,1152009,1515,1,I,T,5.0,ROBBERY,5,V,Y,Y,Y,1050.7J,N, ,0,0,N, ,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,879,879,N,N,V,S,M,B,3191985,23,5,8,140,BK,BR,T, ,L, , ,STAIRWAY, , ,SAINT NICHOLAS AVENUE,WEST 145 STREET, ,MANHATTAN, , ,30,C, , ,0999539,0239499,CM,1,85
248719,2009,75,14918,5142009,2123,A,O,P,1.0,CRIMINAL TREPASSING,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,75,75,Y,N, , ,M,B,11031990,18,5,7,180,BK,BR,M, ,L, , ,STREET,1305,LORING AVENUE,ELDERTS LANE,AUTUMN AVENUE, ,BROOKLYN, , ,75,M, , ,1022094,0182539,CM,1,31
